Species ;Fertilization;AGRBio;AGRD;AGRH;CB
Cenostigma;Fertilized ;5.28;3.13;1.26;2.56
Cenostigma;Fertilized ;3.23;2.80;1.87;1.57
Cenostigma;Fertilized ;2.49;2.90;0.97;1.20
Cenostigma;Fertilized ;3.19;3.45;1.29;1.53
Cenostigma;Fertilized ;3.76;3.43;1.35;1.81
Cenostigma;Fertilized ;4.03;3.00;1.21;1.97
Cenostigma;Fertilized ;5.23;3.85;1.15;2.53
Cenostigma;Fertilized ;2.30;2.70;1.23;1.12
Cenostigma;Fertilized ;4.30;3.38;1.51;2.09
Senna;Fertilized ;4.27;3.90;1.38;1.99
Senna;Fertilized ;7.10;5.93;2.66;3.36
Senna;Fertilized ;8.22;4.85;2.06;3.87
Senna;Fertilized ;7.51;7.55;0.87;3.55
Senna;Fertilized ;4.09;4.55;1.44;1.82
Senna;Fertilized ;13.44;6.95;2.09;6.35
Senna;Fertilized ;5.29;4.80;1.46;2.47
Dipteryx;Fertilized ;0.32;1.10;0.72;0.16
Dipteryx;Fertilized ;0.53;1.20;1.22;0.26
Dipteryx;Fertilized ;0.66;1.35;0.98;0.33
Dipteryx;Fertilized ;1.59;2.05;1.90;0.79
Dipteryx;Fertilized ;0.10;1.00;0.71;0.05
Dipteryx;Fertilized ;1.37;1.70;1.39;0.69
Dipteryx;Fertilized ;1.48;1.65;1.72;0.74
Dipteryx;Fertilized ;0.47;0.95;0.88;0.23
Dipteryx;Fertilized ;0.79;1.30;0.79;0.40
Clitoria;Fertilized ;35.16;7.28;2.08;17.18
Clitoria;Fertilized ;19.18;6.75;2.55;9.34
Clitoria;Fertilized ;23.33;7.45;1.92;11.41
Clitoria;Fertilized ;19.99;7.10;3.27;9.75
Clitoria;Fertilized ;19.73;7.33;2.47;9.66
Clitoria;Fertilized ;14.32;6.65;2.02;6.97
Clitoria;Fertilized ;35.41;8.48;2.16;17.26
Clitoria;Fertilized ;16.77;5.48;1.67;5.68
Clitoria;Fertilized ;15.89;5.55;1.47;7.76
Inga;Fertilized ;18.42;5.40;1.91;9.16
Inga;Fertilized ;20.23;6.45;2.71;10.15
Inga;Fertilized ;20.24;8.05;2.43;10.09
Inga;Fertilized ;9.20;4.65;2.01;4.60
Inga;Fertilized ;8.79;4.30;2.00;4.39
Inga;Fertilized ;21.92;5.60;1.94;11.02
Inga;Fertilized ;13.40;5.63;1.49;6.72
Acacia;Fertilized ;41.05;9.23;3.62;20.37
Acacia;Fertilized ;49.71;9.13;5.06;24.60
Acacia;Fertilized ;40.91;8.25;4.35;20.46
Acacia;Fertilized ;40.86;8.20;3.48;20.60
Acacia;Fertilized ;72.21;11.48;4.78;35.66
Acacia;Fertilized ;51.00;10.65;3.25;25.22
Acacia;Fertilized ;21.39;7.00;3.40;10.71
Acacia;Fertilized ;95.01;13.45;3.99;46.80
Acacia;Fertilized ;68.87;11.35;4.38;34.28
Cenostigma;Unfertilized;0.01;0.20;0.12;
Cenostigma;Unfertilized;0.01;0.15;0.10;
Cenostigma;Unfertilized;0.01;0.25;0.16;
Cenostigma;Unfertilized;0.03;0.45;0.34;
Cenostigma;Unfertilized;0.02;0.45;0.24;
Cenostigma;Unfertilized;0.02;0.35;0.19;
Cenostigma;Unfertilized;0.01;0.15;0.16;
Cenostigma;Unfertilized;0.01;0.20;0.18;
Cenostigma;Unfertilized;0.05;0.35;0.32;
Senna;Unfertilized;0.60;1.50;0.93;
Senna;Unfertilized;0.05;0.40;0.44;
Senna;Unfertilized;0.02;0.45;0.30;
Dipteryx;Unfertilized;0.02;0.20;0.21;
Dipteryx;Unfertilized;0.01;0.30;0.12;
Dipteryx;Unfertilized;0.03;0.30;0.20;
Dipteryx;Unfertilized;0.02;0.40;0.22;
Dipteryx;Unfertilized;0.01;0.10;0.16;
Dipteryx;Unfertilized;0.01;0.25;0.17;
Dipteryx;Unfertilized;0.01;0.00;0.00;
Dipteryx;Unfertilized;0.01;0.25;0.10;
Dipteryx;Unfertilized;0.06;0.45;0.39;
Clitoria;Unfertilized;0.02;0.45;0.25;
Clitoria;Unfertilized;0.04;0.65;0.27;
Clitoria;Unfertilized;0.01;0.20;0.09;
Clitoria;Unfertilized;0.03;0.00;0.00;
Clitoria;Unfertilized;0.04;1.23;0.47;
Clitoria;Unfertilized;2.44;2.60;0.82;
Clitoria;Unfertilized;3.07;2.95;1.17;
Clitoria;Unfertilized;0.06;0.55;0.22;
Inga;Unfertilized;0.03;0.60;0.42;
Inga;Unfertilized;0.12;1.30;0.61;
Inga;Unfertilized;0.05;0.65;0.24;
Inga;Unfertilized;1.19;2.15;0.66;
Acacia;Unfertilized;0.19;1.20;0.78;
Acacia;Unfertilized;2.21;2.45;1.34;
Acacia;Unfertilized;12.12;4.70;1.98;
Acacia;Unfertilized;0.33;1.10;0.97;
Acacia;Unfertilized;12.85;4.80;2.07;
Acacia;Unfertilized;0.67;2.05;0.94;
Acacia;Unfertilized;1.55;2.70;1.80;
Acacia;Unfertilized;0.39;1.20;1.14;
Acacia;Unfertilized;55.48;9.85;3.53;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
